Наименование,Лимиты ,Динамика, Контракты, Затраты
"Прочие работы, услуги","646 700,00",положительная,"526 280,00","395 595,00"
Заработная плата,"218 499 900,00",отрицательная,"218 499 900,00","132 757 668,04"
Начисления на выплаты по оплате труда,"117 800,00",положительная,"117 800,00","23 047,69"
Прочие выплаты,"56 810 000,00",отрицательная,"40 895 967,20","36 671 089,07"
Услуги связи,"574 600,00",положительная,"498 523,68","150 324,41"
Транспортные услуги,"483 000,00",отрицательная,"540,00","540,00"
Коммунальные услуги,"766 600,00",положительная,"755 542,54","418 999,62"
Арендная плата за пользование имуществом,"23 809 700,00",положительная,"16 865 322,53","9 838 104,85"
"Работы, услуги по содержанию имущества","12 301 700,00",отрицательная,"11 191 608,99","6 892 384,39"
"Прочие работы, услуги","2 390 300,00",положительная,"1 256 948,60","1 130 548,60"
Увеличение стоимости основных средств,"2 874 200,00",отрицательная,"2 625 289,00","2 625 289,00"
Увеличение стоимости материальных запасов,"7 401 900,00",положительная,"5 002 474,95","4 312 070,20"
Прочие расходы ,"79 700,00",отрицательная,"79 608,00","79 608,00"
"Прочие расходы - Уплата прочих налогов, сборов и иных обязательных платежей","97 000,00",положительная,"14 427,53","14 427,53"
Прочие расходы - Уплата иных платежей,"120 000,00",положительная,"60 000,00","60 000,00"
Арендная плата за пользование имуществом,"4 135 000,00",отрицательная,"193 516,85","170 282,25"
"Прочие работы, услуги","400 000,00",положительная,"0,00","0,00"
Увеличение стоимости основных средств,"30 150 000,00",отрицательная,"29 855 755,00","0,00"
Уплата налогов на имущество организаций и земельного налога,"2 265 000,00",положительная,"918 459,70","918 459,70"
Арендная плата за пользование имуществом,"450 100,00",отрицательная,"415 631,24","415 631,24"
"Прочие работы, услуги","94 295 200,00",положительная,"73 016 377,83","9 340 893,75"
Увеличение стоимости основных средств,"725 443 100,00",положительная,"518 057 412,06","131 157 119,85"
